applicant_id,name,similarity,distance,decision,error
1,Clarissa_Vignette,42.88,0.5712,auto_approve,
10,Kevin,62.41,0.3759,auto_approve,
11,Kevin_BlackWhite,48.86,0.5114,auto_approve,
12,Fernanda_WrongOrientation,49.23,0.5077,auto_approve,
13,Fernanda,50.71,0.4929,auto_approve,
14,KevinWithGlasses,13.83,0.8617,manual_review,
14,KevinWithGlasses,32.43,0.6757,auto_approve,
15,Nathan,62.86,0.3714,auto_approve,
2,Clarissa_BlackWhite_Vignette,46.71,0.5329,auto_approve,
3,Paolo_Dark_BlackWhite,42.32,0.5768,auto_approve,
4,Paolo_BlackWhite,37.82,0.6218,auto_approve,
5,Miia_BlackWhite,37.90,0.6210,auto_approve,
6,Miia_Sepia_WrongOrientation,46.70,0.5330,auto_approve,
7,Diego_WrongOrientation_BlackWhite,38.54,0.6146,auto_approve,
8,Diego_Wrong_Orientation_Landscape,56.42,0.4358,auto_approve,
9,Louie,74.46,0.2554,auto_approve,
